key;type;name;casnr;short_name;formula;fmw;valence;unit_cat;unit;is_mandatory
station;station;Station;; Station;;;;;;True
latitude;station;Latitude;;Latitude;;;;;°;True
longitude;station;Longitude;;Longitude;;;;;°;True
ca;chem;Calcium;7440-70-2;Ca;Ca;40.077;2;1;mg/L;True
na;chem;Sodium;7440-23-5;Na;Na;22.99;2;1;mg/L;True
k;chem;Potassium;7440-09-7;K;K;39.0983;1;1;mg/L;False
mg;chem;Magnesium;7439-95-4;Mg;Mg;24.305;2;1;mg/L;True
cl;chem;Chloride;16887-00-6;Cl;Cl;35.453;-1;1;mg/L;True
so4;chem;Sulfate;14808-79-8;SO4;SO4;96.063;-2;1;mg/L;True
alk;chem;Alkalinity;;Alk;CaCO3;100;1;1;mg/L;True
hco3;chem;Bicarbonate;;HCO3;HCO3;61.0168;1;1;mg/L;True
co3;chem;Carbonate;3812-32-6;CO3;CO361;60.0089;1;1;mg/L;True
no3;chem;Nitrate;12033-49-7;NO3;NO3;62.0049;-2;1;mg/L;False
fe;chem;Iron;7439-89-6;Fe;Fe;55.845;2;1;mg/L;False
mn;chem;Manganese;7439-96-5;Mn;Mn;54.938045;2;1;mg/L;False
as;chem;Arsenic;7440-38-2;As;As;74.9216;3;1;ug/L;False
cond_25;chem;conductivity_25°C;;Cond;;;;;uS/cm;False
tds;chem;conductivity_25°C;;TDS;;;;;mg/L;False
temp;chem;Temperature;;Temp;;;;;°C;False
pH;chem;pH;;pH;;;;;;False